startdate,enddate,finished,q1,q5_1,q6,q7,q8,q9_1,q10_1,q11_1,q11_2,q12,q13_1,q13_2,q13_3,q13_4,q13_5,q14_1,q14_2,q14_3,q14_4,q16,q22_pagesubmit,q24_pagesubmit,q23_pagesubmit,q25_1,q26_1,q27_1,q28_1,q29_1
2016-06-19 16:05:47,2016-06-19 16:16:31,True,I agree,1995,Female,Single,East Asian or Asian American,Japan,1,3,0,$501-$1000,7.8,8.7,,10,10,,McConnell,Roberts,Republicans,The Supreme Court,,243.913,,5,5,7.1,8,5.3
2016-06-19 16:37:29,2016-06-19 16:47:14,True,I agree,1990,Female,Married,Other,United States,2,3,0,$1501-$2000,1.1,1.1,1.1,4.4,5.8,Sec Army,Paul Ryan,Roberts,Republicans,The Supreme Court,183.121,,,3.4,7.3,6.6,8.2,4.5
2016-06-19 16:42:22,2016-06-19 16:49:35,True,I agree,1991,Female,Single,Non-Hispanic White or Euro-American,United States,5,4,0,$501-$1000,4.8,5.5,2.9,6.6,5.6,,McConnell,,Republican,The Supreme Court,,,165.448,1,8.6,10,2.4,1
2016-06-19 17:40:07,2016-06-19 18:01:12,True,I agree,1994,Female,Single,Non-Hispanic White or Euro-American,United States,8.3,3,0,$2001-$2500,5,5,1.2,7.5,2,,Mitch McConnell,,GOP,The Supreme Court,,,253.082,3,6,8,4,7.4
2016-06-19 18:07:36,2016-06-19 18:18:54,True,I agree,1985,Male,Married,Latino or Hispanic American,United States,9.2,4,0,$3001 and more,5.3,1.9,1,9.8,1.1,Secretary of Defense,Mitch McConnell,,Republicans,The Supreme Court,,250.96,,10,4.1,3,2.5,7.7
2016-06-19 18:09:04,2016-06-19 18:22:08,True,I agree,1993,Male,Single,Non-Hispanic White or Euro-American,United States,2,5,0,$2001-$2500,9.1,9.1,1.1,9.1,8.1,Secretary of Defense,Mitch McConnell,John Roberts,Republican,The Supreme Court,,247.328,,2,8.5,9,7.5,3.4
2016-06-19 18:08:58,2016-06-19 18:26:20,True,I agree,1991,Female,Prefer not to disclose,Non-Hispanic White or Euro-American,United States,2.9,3,0,$3001 and more,10,8,,8,6.1,,,,Republican,The Supreme Court,356.328,,,1,10,5.5,7,5.6
2016-06-19 18:30:05,2016-06-19 18:39:17,True,I agree,1993,Male,Single,Non-Hispanic White or Euro-American,United States,8,4,0,$2501-$3000,6,8,5,9.5,5,secretary of defense,Mitch McConnell,John Roberts,Republican,The Supreme Court,,,163.322,3,8.6,9,6,2.6
2016-06-19 18:51:24,2016-06-19 19:10:47,True,I agree,1990,Male,Single,Non-Hispanic White or Euro-American,United States,1.9,3,0,$3001 and more,3.2,4,,7.4,6,Sec Def,?,?,Democrats,The Supreme Court,356.767,,,2.8,3.7,7.4,7.2,1.1
2016-06-19 19:06:53,2016-06-19 19:22:46,True,I agree,1994,Male,Single,Non-Hispanic White or Euro-American,United States,6.2,4,0,$501-$1000,5,4,4,8,7,Secretary of Defense,Mitch McConnell,John Roberts,Republicans,The Supreme Court,597.495,,,10,4,8.1,7.1,6.7
2016-06-19 19:45:49,2016-06-19 19:58:14,True,I agree,1981,Male,Single,Other,United States,8.5,3.5,0,$1501-$2000,7,6,1,8,6,Sec of Defense,McConnell,Roberts,GOP,The Supreme Court,,243.226,,6,4,5.5,5.3,5.4
2016-06-19 20:14:17,2016-06-19 20:25:37,True,I agree,1993,Female,Married,Non-Hispanic White or Euro-American,United States,3.5,2,0,$3001 and more,6,1.1,1.1,8,1.1,SOD,,roberts,no,The Supreme Court,,,163.996,1,10,8.8,7.6,3.8
